"B","T","E","X","X9_ane","X10_ane","X13_ane","X14_ane","X1_M_2_PA","BTM","FormicAcid","aceticacid","NonaDecanoicAc","Tot_OcNoDecana","TYPE","SAISON","Campagne","Localisation"
-0.328661975860421,0.328175300177048,0.437080996629696,0.391421145831046,-0.251592223704791,-0.255325736310764,-0.486499389595039,-0.196563223825567,-0.115406359949587,-0.00896106367291002,-0.111060183984748,-0.147854386930919,0.14672496187223,0.400253513584359,"rural","hiver","CA1","P14"
-0.381242505679053,1.77708797069984,1.61120743593255,1.28427049365827,-0.0554298843217811,-0.388111440980124,-0.237386357878918,-0.0526681127803083,0.326203366185512,0.642203662885537,-0.174841873070117,-0.263294784240979,0.213893228058206,0.170532178851298,"urbain","hiver","CA1","P15"
-0.127995745122339,-0.196579633746818,-0.323816305812532,-0.300059523064147,-0.148871086266625,0.0893405839606173,-0.731115325817248,-0.698269633860509,-0.409444703174443,-0.10574945379201,0.0353691418656389,0.04920110627815,-0.361025702231197,0.0761507643427612,"urbain","hiver","CA1","P16"
-0.274682292914177,0.216422323543577,-0.0693730208853512,0.0847358912215377,0.610114206379505,-0.282847863867296,-0.591186090694816,-0.134158553422077,0.0752681065593878,-0.125125396181214,0.256075122639427,0.444827669428104,0.00184399109227024,-0.627646509423002,"compostage","hiver","CA1","P01"
0.202968831378832,0.46400304419146,0.181688009755182,0.174993073156456,-0.0770270894072986,-0.25622321570016,-0.0317394502623543,-0.0657431700027519,-0.0633516538279554,0.370187239706311,0.313468545335753,0.171247837213859,0.537906294543607,0.810277128776929,"rural","hiver","CA1","P12"
1.64996880649062,0.641097233794083,0.766384339532555,0.928311080275563,1.2533353153661,1.25688390995992,1.62083814154746,1.14298963453273,1.11877525594648,1.06056067419518,1.02170129525057,0.624398499947558,0.90436958540879,1.66818191548636,"rural","ete","CA2","P19"
1.23063735205237,0.589965562484973,0.590032023719098,0.824466717592047,1.06607021087399,1.5466589447913,1.53771259805924,1.21683921820777,1.03422940882747,0.920836995274275,1.02502490802086,0.66175393418209,0.516919314477073,1.70929890695834,"urbain","ete","CA2","P21"
1.38261545468217,1.09697911922223,1.3194645139449,1.56020019749726,1.43543635951391,1.6068656116637,1.63568580990809,1.40408615322862,1.29985434818222,1.58766090213228,0.952641166109011,0.87567427763504,0.848846990777372,0.705619741079507,"urbain","ete","CA2","P05"
1.07278865242961,0.369342310862189,0.689729882892113,0.899969016520026,0.82461790900098,1.02901391947041,1.69859766122106,1.23945826708728,1.04837556701253,0.669882464047962,1.14758803242189,1.07816687570796,0.941379848203529,1.4586347711363,"rural","ete","CA2","P06"
1.39557623518115,0.62544870942314,0.863440576419022,0.987587137879068,1.22090142006506,1.09577639965439,1.57564157604659,1.20734642139231,1.05639817980247,0.697555940306963,1.04358077541478,0.738956568855859,0.766621060490019,1.55761705644522,"rural","ete","CA2","P07"
1.59294678509218,1.54228620595503,1.32256964354219,1.47850832664168,1.81023449843794,1.3119687285757,1.72749787673933,1.22121564558515,1.32077199226061,0.819772731209937,1.3087970413252,1.16158399708737,1.20546811831799,2.13351158374612,"rural","ete","CA2","P03"
1.35728633515656,0.619810365123788,1.10169500203746,1.25959422828429,1.13268233839795,1.10456248157006,1.63916341118144,1.20917379080743,1.34702553869917,0.491357808878388,1.23967563914109,1.08955787729494,0.963251368480116,1.22134985581423,"rural","ete","CA2","P14"
1.28987398872473,2.58551977545657,2.59124964686779,2.70387948809247,1.66054233152237,1.68850231214562,1.70742590209406,1.29965136101115,1.77205807007427,1.73073575859873,1.16267731733683,0.718681103553807,0.276363205170312,1.67869277183616,"urbain","ete","CA2","P15"
1.14130946787623,0.831146748635402,1.11607381506235,1.23323828856215,1.7300431341728,1.35059030751332,1.58041966994632,1.14281863638153,1.3092630468206,1.08341474089921,0.944517265164849,0.746600829670788,1.10204041045344,1.66770998485478,"rural","ete","CA2","P04"
1.28694105311358,1.63031116700112,1.55440490733239,1.84850818742519,2.30146747816886,1.70781440295336,1.45847197485331,1.19499750954603,1.62856392248818,2.23748738764209,1.07193211044793,0.949233848768591,1.18798058293594,2.02876539437273,"urbain","ete","CA2","P32"
1.32599854516204,1.73900982878391,2.42176177921324,2.74776914745299,1.86037442111315,1.86379467406488,1.72148408651236,1.33394159775518,1.13608181701056,1.76023324917792,0.813303899901534,0.724592722875374,0.764202255375505,1.24656853105485,"urbain","ete","CA2","P33"
1.30206734567478,1.22270640600078,1.78465040187588,1.94027695749041,1.70161556268882,1.66809587713094,1.55859020901861,1.16413459845842,2.14744053529655,2.15608090831736,1.06368440698483,0.885476760317313,0.8683897339101,1.71190827825131,"rural","ete","CA2","P29"
0.761807392542026,0.0920685157481864,0.525902711542632,0.709781874003057,0.748389367360479,-1.02932275400459,1.59110290224079,1.19957498995962,1.02109098010199,0.811753176670504,1.01553573830911,0.679979749892358,0.953803022847464,1.47152346107365,"rural","ete","CA2","P30"
0.892799201021691,0.206708572253999,0.364237418470262,0.53956013357797,0.736706387540515,1.05957379331174,1.77087318956517,1.32623119487507,0.878346828674765,0.298059475512676,0.946052810236892,0.714919905063519,0.596146703441603,1.61214346620776,"rural","ete","CA2","P27"
1.12777956112573,1.15878404907068,1.44439512039495,1.53000018498489,0.842512165921084,-0.769765294715301,1.49967129237114,1.15370092789334,1.32586546523764,-0.347502087636505,0.957900033692378,1.03918324278826,0.260142416645068,1.22408425998537,"urbain","ete","CA2","P28"
1.42649522961272,1.01341055957374,1.0019593969896,1.29747803180122,1.69409867789472,1.36971030201595,1.75870172275136,1.26567537055557,1.3005153278952,1.27351748801175,1.13528587744723,1.29717059263956,1.08286055432035,1.10029681931287,"compostage","ete","CA2","P02"
1.18511119082685,0.861832709071531,0.731037737133916,0.964728426786075,1.25447512532484,1.21974229555608,1.78003223056983,1.27614624706846,1.22706990124726,0.916241696398064,1.05077067210022,1.25530655560455,0.932046938090987,0.668900403285788,"compostage","ete","CA2","P01"
1.09093081649707,0.460446206107448,0.774173582951774,0.737789944203117,1.13082602394855,1.17459197510772,1.58840452725824,1.12270105522689,0.989118610305713,0.941979966034399,1.07220117235668,0.574622535076033,0.731451183152194,1.64229108252144,"rural","ete","CA2","P12"
0.0840364999483484,0.448855773570715,-0.433998218629498,-0.246100365100292,-0.205330498691794,0.426212493817196,0.1665949880988,0.579178178532175,0.035127178630405,0.563493132749353,0.117175140677969,0.0958748605272807,0.308589497614707,0.219413662776006,"rural","hiver","CA3","P19"
0.0374500016668608,1.33943843763397,0.271098967874916,0.310780126177792,0.071183224891596,0.508173662458158,-0.0565950006783065,0.433520977264105,0.0924429249591485,0.567906884502032,-0.136960531971634,0.0801076715490784,-0.392515877156398,0.207148822621239,"urbain","hiver","CA3","P17"
0.495527622280313,0.600388927405803,-0.167910784328449,-0.263242186304751,-0.177196489204577,0.436040488899415,-0.293396475754729,0.234739051975576,-0.607980737563815,-1.0336885108168,-1.05743972023017,0.464894760433102,-0.666926595692374,-0.182902932176074,"rural","hiver","CA3","P07"
0.0836134079695581,0.209571219664791,-0.337428483258229,-0.443751882240241,-0.433105415387987,0.0264844832403404,-0.706841438678322,-0.0435233877442865,-0.409457003496305,-0.372716138300614,0.0744614681195585,0.0320635495596195,-0.482062373645234,0.353238059543809,"rural","hiver","CA3","P13"
0.173070666204305,0.454118299497112,0.295602531510249,-0.0113692857913136,-0.405416186127894,0.43603744891071,0.0683606047539128,0.516704355472914,0.024751748768218,0.0587584902914695,0.0436142790107658,0.115894118472354,-0.134799814913247,0.0316454152567323,"rural","hiver","CA3","P14"
0.438017922854156,1.6195742204699,1.64113553198064,1.28206061698375,0.3686843391279,0.8792599027806,-0.032926708273417,0.524186572270389,0.787686618274988,0.927256093571388,-1.29387977421064,0.353420364327399,-0.312365627754517,0.0340924107752408,"urbain","hiver","CA3","P15"
0.203671894348023,1.26228956139061,0.591303502424805,0.662338976154655,0.273560966205629,0.864616527479689,0.109003137984455,0.562248284729296,1.01104974314257,1.25622536935716,0.108719890467838,0.214297576073533,-0.11288231113986,-0.0511740867683177,"sourceindustrie","hiver","CA3","P09"
0.19952200471761,0.730049096035002,-0.0890760122929907,0.0304772967131744,0.107228174386107,0.887385161415644,-0.0750054228802003,0.391033038731518,-0.243134834404157,0.493768721582245,0.11675619041393,0.255317740208,-0.526357773413685,0.0326654612015829,"urbain","hiver","CA3","P16"
